latitude,longitude,date
40.12719,-81.50403,2013-06-17
40.14003,-81.49033,2017-02-12
40.01452,-81.34529,2021-07-06
40.6559,-83.9374,2004-03-25
40.42655,-81.25576,2000-10-01
40.42687,-81.2558,2004-07-18
40.36207,-81.18504,2010-03-02
40.24786,-81.15179,2012-03-19
40.16912,-80.62003,2020-02-06
40.26059,-81.22332,2020-02-16
40.30527,-80.93864,2020-02-16
40.40611,-81.13733,2020-02-29
40.30824,-81.24778,2020-03-04
40.40192,-81.08803,2021-02-03
39.39935,-82.52238,1980-10-31
39.58157,-82.36887,2000-07-11
39.56573,-82.49833,2017-06-25
39.57143,-82.49968,2017-08-13
40.61286,-82.17295,2012-06-21
40.61286,-82.17295,2012-06-28
40.62731,-82.12366,2013-01-05
40.59307,-82.14194,2013-05-27
40.60291,-82.16943,2013-08-24
41.06939,-82.36591,2015-08-24
40.36957,-80.77387,1981-11-01
40.54269,-80.89606,1987-08-07
40.2831,-80.78826,1988-12-31
40.39103,-80.6937,1997-09-30
40.3725,-80.67828,2001-06-01
40.42591,-80.6616,2004-05-01
40.29771,-80.75612,2020-08-14
40.36887,-80.81801,2021-07-24
38.60551,-82.71107,1991-02-24
40.05998,-82.28814,1984-01-15
39.74107,-82.70263,2000-06-29
41.42364,-82.82491,2000-10-29
40.26494,-83.0556,1976-07-15
41.34728,-84.54476,1977-01-01
41.2625,-84.38103,1998-05-24
39.03501,-84.1317,2009-06-16
39.92821,-83.64597,1989-11-01
40.04792,-83.5556,1983-05-01
40.54605,-81.26217,1976-08-01
39.49695,-84.45905,1986-06-01
38.81772,-83.80582,1986-07-27
40.01784,-80.93318,1994-11-05
39.4484,-82.2244,1980-07-01
39.45789,-82.24257,1994-09-01
39.47642,-82.24155,1998-11-19
39.28537,-81.85331,2002-05-16
39.86019,-81.20422,2002-10-15
40.01983,-81.07013,2014-05-23
39.91209,-81.04791,2015-10-04
40.10975,-80.85938,2018-01-21
40.10084,-81.14331,2020-04-11
38.64301,-83.69977,2010-01-30
39.37215,-84.80138,2001-06-06
39.37509,-84.79429,2002-07-14
40.68514,-81.02382,2001-10-17
40.71737,-81.18352,2005-05-30
40.64049,-80.90944,2009-05-10
40.01979,-83.56088,1983-10-15
39.92104,-83.95184,1993-09-15
39.85461,-83.94906,1998-10-15
39.86096,-83.96562,2000-10-15
39.89216,-83.96123,2000-11-24
39.01569,-84.08533,2014-12-07
39.00175,-84.14354,2015-09-13
38.99484,-84.10731,2018-04-21
40.6807,-80.57164,1971-06-30
40.63606,-80.53528,1973-08-30
40.76533,-80.55217,1980-06-01
40.69334,-80.57396,1980-06-15
40.70386,-80.58332,1982-06-15
40.72943,-80.59236,1997-10-01
40.68935,-80.57593,2001-07-16
40.77972,-80.64831,2001-11-01
40.725,-80.616,2007-01-10
40.73206,-80.61996,2008-06-14
40.87496,-80.7291,2012-11-22
40.92344,-80.84042,2015-10-20
40.35097,-81.99847,1988-05-19
40.2287,-81.96845,1998-03-15
40.3244,-81.99955,2000-05-07
40.25597,-82.1334,2001-04-15
40.15002,-83.02854,1989-08-15
41.17222,-82.34181,2013-01-02
39.5246,-82.6353,2004-04-03
39.59947,-82.63536,2010-10-09
39.6279,-82.83647,2020-01-20
40.08159,-83.0337,1987-05-15
39.89203,-83.00142,1997-06-01
41.81902,-80.58163,1976-11-01
40.85035,-82.29486,1963-07-01
40.73412,-84.06565,1987-03-15
38.89665,-83.40573,1981-01-31
36.13222,-95.79677,1966-08-15
34.38638,-98.99414,1987-03-19
35.56637,-94.98001,2008-04-18
35.26808,-96.60222,1974-11-04
36.18889,-95.74556,2003-10-09
35.76152,-99.93007,1983-10-01
34.86111,-96.66528,2002-02-06
34.81417,-95.65417,2005-02-10
35.97389,-97.03333,1997-11-15
36.94679,-94.71512,2001-03-16
36.62116,-96.12164,2009-08-07
35.64389,-97.45694,1982-01-15
35.42014,-97.21555,2004-03-26
35.53925,-97.67827,2019-04-15
36.02306,-97.1225,1997-12-30
34.6021,-95.11875,2011-11-24
34.50572,-95.12156,2021-10-30
36.37919,-95.80589,2020-10-16
38.83859,-83.28128,1999-04-26
38.73687,-83.39134,2002-05-26
39.11929,-83.40022,2011-08-08
38.82795,-83.56633,2017-06-17
40.65572,-83.93892,1999-11-01
40.82327,-82.32803,1991-09-15
40.99562,-82.38627,2003-04-07
40.60787,-82.26236,2004-08-29
40.61111,-82.29642,2015-09-18
40.65099,-82.33575,2020-08-18
40.8557,-82.26972,2021-04-24
40.81139,-82.26806,2021-06-09
40.61309,-82.31692,2021-06-18
41.81835,-80.93665,1991-07-01
41.72735,-80.54558,1999-05-30
41.72134,-80.88494,2000-12-28
41.81429,-80.84143,2007-09-22
